date,source,site_id,poc,daily_mean_pm10_conentration,units,daily_aqi_value,site_name,daily_obs_count,percent_complete,aqs_parameter_code,aqs_parameter_desc,cbsa_code,cbsa_name,state_code,state,county_code,county,site_latitude,site_longitude
2020-03-31,AQS,60070008,3,5,ug/m3 SC,5,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-01,AQS,60070008,3,7,ug/m3 SC,6,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-02,AQS,60070008,3,4,ug/m3 SC,4,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-03,AQS,60070008,3,6,ug/m3 SC,6,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-04,AQS,60070008,3,6,ug/m3 SC,6,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-05,AQS,60070008,3,2,ug/m3 SC,2,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-06,AQS,60070008,3,3,ug/m3 SC,3,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-07,AQS,60070008,3,4,ug/m3 SC,4,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-08,AQS,60070008,3,9,ug/m3 SC,8,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-09,AQS,60070008,3,7,ug/m3 SC,6,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-10,AQS,60070008,3,10,ug/m3 SC,9,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-11,AQS,60070008,3,12,ug/m3 SC,11,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-12,AQS,60070008,3,9,ug/m3 SC,8,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-13,AQS,60070008,3,10,ug/m3 SC,9,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-14,AQS,60070008,3,10,ug/m3 SC,9,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-15,AQS,60070008,3,18,ug/m3 SC,17,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-16,AQS,60070008,3,17,ug/m3 SC,16,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-17,AQS,60070008,3,24,ug/m3 SC,22,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-18,AQS,60070008,3,21,ug/m3 SC,19,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-19,AQS,60070008,3,18,ug/m3 SC,17,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-20,AQS,60070008,3,23,ug/m3 SC,21,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-21,AQS,60070008,3,18,ug/m3 SC,17,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-22,AQS,60070008,3,22,ug/m3 SC,20,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-23,AQS,60070008,3,14,ug/m3 SC,13,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-24,AQS,60070008,3,11,ug/m3 SC,10,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-25,AQS,60070008,3,10,ug/m3 SC,9,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-26,AQS,60070008,3,25,ug/m3 SC,23,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-27,AQS,60070008,3,13,ug/m3 SC,12,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-28,AQS,60070008,3,14,ug/m3 SC,13,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-29,AQS,60070008,3,40,ug/m3 SC,37,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-04-30,AQS,60070008,3,21,ug/m3 SC,19,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-05-01,AQS,60070008,3,26,ug/m3 SC,24,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-05-02,AQS,60070008,3,25,ug/m3 SC,23,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-05-03,AQS,60070008,3,9,ug/m3 SC,8,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-05-08,AQS,60070008,3,27,ug/m3 SC,25,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-05-09,AQS,60070008,3,35,ug/m3 SC,32,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-05-10,AQS,60070008,3,32,ug/m3 SC,30,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-05-11,AQS,60070008,3,20,ug/m3 SC,19,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
2020-05-12,AQS,60070008,3,6,ug/m3 SC,6,Chico-East Avenue,1,100,81102,PM10 Total 0-10um STP,17020,"Chico, CA",6,California,7,Butte,39.76168,-121.84047
